|V|	|E|	time	approx
20	147	0.068	11356
20	146	0.084	7870
20	144	0.059	7724
20	143	0.062	6473
20	150	0.059	7770
20	150	0.059	7896
20	145	0.056	9453
20	149	0.072	10088
20	161	0.066	10745
20	150	0.057	9749
20	146	0.056	10298
20	158	0.062	7010
20	151	0.062	8053
20	152	0.058	10609
20	153	0.06	9751
20	147	0.057	9630
20	158	0.062	7748
20	159	0.06	10914
20	155	0.066	10070
20	156	0.062	7240
20	158	0.06	8754
20	161	0.082	9481
20	154	0.061	8494
20	164	0.061	10693
20	151	0.058	11075
20	145	0.058	9343
20	156	0.058	9117
20	156	0.059	9978
20	148	0.063	7950
20	158	0.076	7876
20	157	0.063	9865
20	154	0.066	9006
20	156	0.059	9980
20	149	0.057	9709
20	147	0.071	9139
20	158	0.061	9178
20	155	0.076	7137
20	153	0.063	8013
20	152	0.062	9321
20	150	0.083	7425
20	154	0.063	9757
20	145	0.056	11026
20	147	0.061	9416
20	156	0.064	6501
20	148	0.056	10505
20	151	0.057	9415
20	141	0.055	10614
20	157	0.059	8046
20	140	0.054	10411
20	147	0.057	8382
20	160	0.08	6458
20	145	0.061	8201
20	144	0.057	9698
20	144	0.062	8672
20	153	0.061	7578
20	152	0.059	10051
20	149	0.064	8604
20	159	0.063	11685
20	147	0.057	8562
20	153	0.059	10463
20	153	0.059	10174
20	152	0.065	10874
20	143	0.059	9059
20	153	0.059	9142
20	147	0.059	8490
20	157	0.061	6759
20	141	0.055	10456
20	155	0.059	8975
20	155	0.06	9080
20	154	0.059	9843
20	147	0.056	8653
20	153	0.058	8202
20	157	0.07	8121
20	157	0.059	8228
20	154	0.058	8171
20	148	0.064	8803
20	158	0.06	8593
20	152	0.058	9803
20	154	0.057	7726
20	149	0.06	9159
20	147	0.055	9765
20	156	0.059	11364
20	150	0.057	7011
20	149	0.082	9511
20	159	0.063	10686
20	152	0.058	9986
20	155	0.058	10392
20	156	0.06	9305
20	152	0.057	7367
20	150	0.058	9314
20	148	0.058	10768
20	151	0.059	8547
20	152	0.057	10554
20	157	0.059	9911
20	151	0.087	10584
20	151	0.062	9598
20	164	0.062	8504
20	152	0.058	9262
20	153	0.06	9296
20	164	0.06	10936
20	151	0.079	7979
20	160	0.065	8509
20	148	0.057	7970
20	150	0.057	9188
20	162	0.06	8113
20	146	0.077	9675
20	163	0.061	11066
20	164	0.062	9366
20	160	0.069	10254
20	159	0.061	9764
20	156	0.059	9612
20	150	0.057	9648
20	151	0.058	7609
20	148	0.057	8135
20	149	0.057	10287
20	148	0.056	13162
20	157	0.078	10765
20	157	0.061	7553
20	149	0.058	8116
20	159	0.08	10451
20	160	0.064	7556
20	155	0.059	10358
20	137	0.056	9006
20	149	0.059	8276
20	143	0.057	10033
20	155	0.059	8031
20	151	0.061	8791
20	150	0.077	9372
20	151	0.059	8599
20	149	0.057	11384
20	152	0.077	8751
20	146	0.061	8528
20	154	0.075	9953
20	165	0.066	6793
20	156	0.059	10248
20	150	0.058	9907
20	159	0.06	9390
20	145	0.069	9141
20	163	0.063	10855
20	154	0.06	11495
20	152	0.063	10997
20	148	0.059	7361
20	152	0.057	8445
20	156	0.072	7686
20	156	0.062	8837
20	144	0.057	9038
20	160	0.072	9376
20	157	0.06	10488
20	143	0.061	10489
20	153	0.06	9368
20	150	0.058	11301
20	165	0.064	10677
20	149	0.058	8824
20	138	0.053	8037
20	147	0.058	9594
20	151	0.059	8043
20	159	0.083	9341
20	154	0.062	8904
20	143	0.055	10341
20	149	0.062	9694
20	144	0.073	9743
20	145	0.061	9838
20	143	0.058	9678
20	157	0.073	10012
20	154	0.067	8516
20	155	0.062	10422
20	149	0.057	9944
20	161	0.06	8070
20	137	0.054	7311
20	144	0.073	10249
20	145	0.06	10675
20	141	0.056	8562
20	147	0.059	8834
20	147	0.059	9694
20	156	0.058	9555
20	152	0.058	11750
20	149	0.09	8203
20	145	0.094	11435
20	148	0.059	9497
20	160	0.085	7449
20	143	0.061	8686
20	148	0.057	11475
20	154	0.059	10674
20	153	0.06	6830
20	145	0.058	8174
20	157	0.06	10759
20	148	0.057	6481
20	154	0.063	8561
20	153	0.059	9412
20	154	0.059	10806
20	158	0.08	10384
20	152	0.06	9866
20	157	0.058	7626
20	149	0.069	10468
20	147	0.056	8420
20	151	0.057	10805
20	152	0.058	7286
20	151	0.058	10657
20	148	0.056	8133
20	159	0.06	8232
20	146	0.058	10312
20	139	0.073	8709
20	157	0.062	9898
20	154	0.059	10256
20	144	0.056	11048
20	151	0.06	8485
20	146	0.057	7664
20	154	0.059	8795
20	148	0.061	10227
20	158	0.062	5876
20	155	0.082	9614
20	156	0.059	7758
20	146	0.081	10483
20	157	0.064	9149
20	151	0.059	8014
20	155	0.059	7851
20	157	0.059	11328
20	150	0.057	10139
20	163	0.061	7955
20	150	0.058	10306
20	165	0.091	6770
20	156	0.087	10641
20	152	0.081	10243
20	157	0.061	10245
20	149	0.057	9479
20	153	0.07	9155
20	139	0.056	11654
20	149	0.06	7382
20	154	0.065	8714
20	155	0.061	10923
20	144	0.056	10268
20	153	0.059	8957
20	160	0.078	9251
20	145	0.059	9087
20	158	0.063	8342
20	148	0.057	8543
20	147	0.059	10555
