|V|	|E|	time	approx
100	3964	1.4	49387
100	3931	1.15	50271
100	3985	1.22	45916
100	3975	1.2	49852
100	3942	1.81	49150
100	3991	1.33	47439
100	3940	1.3	46589
100	3946	1.19	52131
100	3979	1.2	51181
100	3934	1.33	45595
100	3905	1.88	49390
100	3965	1.94	48799
100	3980	1.29	48169
100	3908	1.82	48875
100	3962	1.25	51426
100	3922	1.25	47713
100	3983	1.35	47627
100	3961	1.55	47005
100	4004	1.71	49534
100	3891	1.88	47361
100	3951	1.94	52518
100	3946	1.53	46793
100	3939	1.63	48671
100	3961	1.46	49422
100	3943	1.94	46669
100	3998	1.84	54204
100	3997	1.86	48584
100	4006	1.49	51617
100	3953	1.51	51866
100	3946	1.36	52164
100	3995	1.76	51619
100	3938	1.5	48679
100	3965	1.58	51842
100	3957	1.67	48877
100	3944	1.67	48252
100	3926	1.58	43897
100	4037	1.54	48545
100	3996	1.77	44669
100	3917	1.51	48490
100	3952	1.47	46174
100	3963	1.49	50358
100	3998	1.41	49730
100	3998	1.43	49298
100	3986	1.43	43275
100	3949	1.85	48746
100	3941	1.76	50426
100	3945	2.03	51750
100	3966	1.98	49716
100	3965	1.53	49974
100	3958	1.64	49221
100	4000	1.91	49581
100	3956	1.78	48600
100	3928	1.77	48442
100	3975	1.54	50128
100	3937	1.43	47108
100	4016	1.5	44735
100	3940	1.42	49412
100	3990	1.51	45949
100	3975	1.86	51358
100	3988	1.87	48181
100	3977	1.41	47677
100	3918	1.73	47416
100	3986	1.44	46736
100	4007	1.53	51894
100	3966	1.19	52598
100	4008	1.71	44155
100	3971	1.79	51889
100	3943	1.68	48507
100	3995	1.83	42608
100	4005	1.91	50349
100	3954	1.9	47477
100	3964	1.83	49981
100	3983	1.88	53462
100	3987	1.63	49943
100	3980	1.51	43852
100	4021	1.93	52032
100	3986	1.37	47716
100	4016	1.64	51105
100	3950	1.56	56510
100	3968	1.58	48597
100	3993	1.54	52306
100	3947	1.27	49896
100	3968	1.82	48900
100	3924	1.67	50362
100	3953	1.5	51273
100	3970	1.53	49183
100	3947	1.67	49466
100	4015	1.97	47526
100	3913	1.32	52768
100	3955	1.6	48629
100	3989	1.67	47893
100	3945	1.8	49910
100	3952	1.9	48292
100	3919	1.44	46272
100	3916	1.83	43250
100	3923	1.36	46840
100	3988	1.75	52899
100	3950	1.63	48235
100	3960	1.58	48462
100	3988	1.69	47194
100	3938	1.65	48257
100	3959	1.45	45995
100	3977	1.38	51958
100	3945	1.94	50079
100	3986	1.53	45849
100	3981	1.47	46884
100	3901	1.52	54505
100	3930	1.58	47647
100	3946	1.51	50612
100	3993	1.88	49721
100	3992	1.35	50907
100	3977	1.52	49038
100	3962	1.71	51175
100	3905	1.56	41125
100	3976	1.35	51423
100	3984	1.39	50104
100	3985	1.36	49285
100	3942	2.02	47100
100	3928	1.59	48683
100	3942	1.5	50896
100	3949	1.45	45734
100	3927	1.78	48946
100	3958	1.31	49987
100	4011	1.96	54173
100	3955	1.84	50806
100	3940	1.39	50557
100	3987	1.61	46821
100	3982	1.56	51602
100	3943	1.54	45502
100	3983	1.42	50904
100	3964	1.5	43145
100	3993	1.89	50350
100	3960	1.73	48038
100	3974	1.26	46183
100	4020	1.47	52861
100	4002	1.5	52720
100	3926	1.86	48912
100	3951	1.9	48609
100	3928	1.73	55052
100	3948	1.73	49977
100	4024	1.7	48916
100	3939	1.47	49455
100	3945	1.5	47548
100	3928	1.64	45217
100	3940	1.46	49203
100	3947	1.9	52794
100	3967	1.91	50294
100	3958	1.8	48271
100	3916	2.01	49621
100	3999	1.55	44736
100	3946	1.47	48734
100	4031	1.59	49226
100	3985	1.57	49451
100	3909	1.74	47269
100	3903	1.86	52101
100	4000	1.4	45682
100	3961	1.48	53923
100	3965	1.56	51284
100	4004	1.59	51019
100	3929	1.44	46699
100	3979	1.35	49042
100	3982	1.78	49989
100	3931	1.42	46980
100	3999	1.78	51240
100	3979	1.39	53668
100	3893	1.86	46954
100	3997	1.7	49175
100	3930	1.22	47164
100	3975	1.51	49642
100	3935	1.41	47634
100	3953	1.66	51289
100	3956	1.68	52359
100	3981	1.9	49777
100	4002	1.86	49119
100	3961	2.04	51738
100	3999	1.57	49824
100	3948	1.54	47959
100	3962	1.36	50793
100	3924	1.57	50577
100	3950	1.49	46922
100	3989	1.57	52501
100	3959	1.5	45843
100	3920	1.69	47363
100	3947	1.57	53009
100	4018	1.83	49260
100	3976	1.6	53560
100	3987	1.54	46903
100	3956	1.85	48323
100	3962	1.52	48091
100	4001	1.25	51155
100	3949	1.77	50420
100	3950	1.72	50555
100	3980	1.98	51246
100	3962	1.66	46462
100	3957	1.9	46047
100	3923	1.34	51183
100	3961	1.43	49502
100	3972	1.76	49778
100	3918	1.75	54117
100	3976	1.54	51008
100	3916	1.52	52207
100	3947	1.52	42967
100	3918	1.75	51117
100	3939	1.18	51446
100	3960	1.38	51404
100	3975	1.55	43968
100	3908	1.79	42535
100	3980	1.49	49717
100	3914	1.58	51813
100	3972	1.66	52463
100	3958	1.61	50815
100	3987	1.55	48605
100	4023	1.79	48847
100	3978	1.84	50186
100	3957	1.45	53337
100	3976	1.93	53591
100	3948	1.62	48984
100	3959	1.7	48469
100	3987	1.8	44755
100	3951	1.56	48594
100	3940	1.77	45166
100	3945	1.54	47583
100	3967	1.5	53607
100	3962	1.45	48034
100	3977	1.25	48677
100	3945	1.72	48434
100	3970	1.52	46755
100	3969	1.6	49762
100	3923	1.52	48580
100	3958	1.55	54894
100	3975	1.37	47018
100	3974	1.52	50418
100	3937	1.4	47239
100	3959	1.37	49443
100	3962	1.93	46867
100	3946	1.5	48830
100	3955	1.84	53334
100	3956	1.51	50657
100	4003	1.79	45924
100	3893	1.49	46738
100	3970	1.88	51917
100	3918	1.52	47558
100	3950	1.74	54428
100	4013	1.37	46201
100	3929	1.43	44922
100	3953	1.2	48068
100	3916	1.68	44212
100	3930	1.43	48858
100	3972	1.18	48552
100	3939	1.31	45497
100	3965	1.42	49851
100	3992	1.53	46821
100	3976	1.74	50423
100	3932	1.61	52487
100	3925	1.27	50676
100	3983	1.5	47801
100	3966	1.87	47721
100	3966	1.37	50851
100	3903	1.74	49885
100	3983	1.41	48271
100	3945	1.96	43874
100	3965	1.94	49766
100	3917	1.43	54191
100	3960	1.46	49889
100	3954	1.84	52044
100	3961	1.9	48411
100	3970	1.79	52557
