|V|	|E|	time	approx	optimal
2	1	0.013	2	0.004	1
3	2	0.006	2	0.009	1
4	3	0.013	4	0.029	2
5	4	0.011	4	0.072	2
6	5	0.015	6	0.147	3
7	6	0.031	6	0.307	3
8	7	0.017	8	0.734	4
9	8	0.017	8	2.17	4
10	9	0.022	10	4.32	5
11	10	0.017	10	12.2	5
12	11	0.026	12	22.8	6
13	12	0.02	12	50.8	6
14	13	0.022	14	121	7
15	14	0.024	14	286	7
16	15	0.032	16	599	8
17	16	0.025	16	1.34e+03	8
18	17	0.047	18	3e+03	9
19	18	0.028	18	6.65e+03	9
20	19	0.03	20	1.37e+04	10
21	20	0.025	20	3.13e+04	10
