|V|	|E|	approx_time	approx
3	1	0.013	109
4	3	0.008	566
5	2	0.005	925
6	7	0.008	2190
7	14	0.012	4278
8	19	0.018	1450
9	16	0.014	3135
10	20	0.014	2623
11	28	0.019	5343
12	34	0.022	3877
13	41	0.03	5004
14	45	0.026	6875
15	55	0.043	4822
16	62	0.036	6967
17	65	0.034	8025
18	80	0.042	6247
19	85	0.039	9461
20	89	0.044	8351
21	96	0.042	9162
22	121	0.078	9257
23	133	0.056	11585
24	133	0.055	9414
25	152	0.059	9166
26	164	0.068	9924
27	176	0.067	13827
28	186	0.101	12230
29	208	0.08	11168
30	211	0.087	14811
31	217	0.079	12253
32	257	0.094	15316
33	263	0.106	15415
34	281	0.105	17340
35	289	0.108	17262
36	315	0.115	17644
37	335	0.119	16087
38	353	0.127	14003
39	371	0.139	16975
40	413	0.151	19051
41	415	0.146	20060
42	436	0.159	21344
43	467	0.166	21471
44	483	0.175	18497
45	469	0.159	24560
46	544	0.18	24181
47	531	0.181	24481
48	557	0.184	21059
49	607	0.212	21908
50	578	0.19	24909
51	632	0.206	25207
52	679	0.218	24668
53	688	0.222	24908
54	711	0.225	27424
55	764	0.243	28458
56	723	0.233	25719
57	804	0.259	24788
58	806	0.274	24282
59	850	0.298	28689
60	906	0.301	29717
61	946	0.312	31412
62	966	0.326	30975
63	956	0.331	33867
64	1016	0.332	31904
65	1067	0.35	29816
66	1072	0.331	32582
67	1103	0.339	34074
68	1151	0.354	33331
69	1180	0.36	34866
70	1166	0.357	33379
71	1251	0.383	31671
72	1253	0.392	33621
73	1355	0.413	36296
74	1382	0.419	36431
75	1389	0.42	37938
76	1449	0.437	38004
77	1414	0.429	38413
78	1473	0.447	36841
79	1569	0.518	39476
80	1602	0.516	41353
81	1620	0.519	40373
82	1646	0.533	42603
83	1687	0.533	39644
84	1701	0.536	41756
85	1758	0.56	45485
86	1805	0.572	38767
87	1810	0.586	40444
88	1881	0.595	41151
89	1962	0.634	41030
90	2025	0.643	41437
91	2065	0.612	48725
92	2065	0.627	45638
93	2138	0.633	47368
94	2189	0.645	46906
95	2271	0.669	44848
96	2299	0.668	52646
97	2316	0.678	47808
98	2374	0.714	49605
99	2423	0.704	51373
100	2464	0.723	47620
101	2573	1.54	54627
102	2578	1.63	45214
103	2683	1.6	44768
104	2642	1.6	52097
105	2713	1.05	50282
106	2822	1	53131
107	2781	0.8	54268
108	2918	0.92	49256
109	2937	0.874	56596
110	2986	1.15	51897
111	2977	0.9	50988
112	3042	0.898	58447
113	3238	1	55477
114	3188	0.963	55264
115	3279	1.02	56581
116	3344	1	59354
117	3432	1.06	54372
118	3469	1.07	56057
119	3493	1.12	57672
120	3563	1.05	59413
121	3637	1.12	64023
122	3706	1.17	63385
123	3821	1.18	61242
124	3765	1.15	60429
125	3841	1.54	62403
126	3983	1.24	62117
127	3969	1.24	63776
128	4093	1.26	69134
129	4112	1.23	64727
130	4147	1.18	62679
131	4181	1.21	63776
132	4283	2.47	65253
133	4326	2.54	61655
134	4556	1.95	68605
135	4518	1.29	65513
136	4625	1.32	64671
137	4679	1.34	64875
138	4747	1.35	67244
139	4814	1.41	62518
140	4790	1.38	69199
141	4935	1.42	64071
142	4967	1.72	72449
143	5027	1.46	71385
144	5144	1.64	67530
145	5246	1.51	69526
146	5258	1.51	76463
147	5327	1.52	72237
148	5388	1.52	70831
149	5507	1.54	70153
150	5516	1.58	74966
151	5688	1.63	72145
152	5720	1.64	72546
153	5799	1.63	67087
154	5950	1.69	72772
155	5998	1.69	79005
156	6002	1.71	74703
157	6118	1.73	73723
158	6329	1.77	73028
159	6376	1.83	80009
160	6329	1.77	80057
161	6408	1.84	80199
162	6601	1.9	76686
163	6610	1.89	79258
164	6706	1.91	80644
165	6703	1.9	79280
166	6907	2.16	80989
167	6916	2.04	84999
168	7019	2	78900
169	7036	2.25	85422
170	7181	2.1	81177
171	7243	2.06	81754
172	7343	2.09	87352
173	7410	2.09	80296
174	7474	2.16	84108
175	7485	2.09	87867
176	7736	2.64	89115
177	7791	2.31	88407
178	7934	2.44	83845
179	8026	2.38	87271
180	8025	2.37	92849
181	8227	2.27	94628
182	8155	2.4	91553
183	8375	2.32	89461
184	8492	2.36	95121
185	8436	2.35	90087
186	8667	2.38	88439
187	8726	2.44	95028
188	8829	2.63	96280
189	8783	2.43	95158
190	8954	2.91	100217
191	9084	2.95	97699
192	9158	2.84	98431
193	9127	2.66	87136
194	9455	2.68	96748
195	9537	2.77	98009
196	9573	2.75	88264
197	9653	5.36	100257
198	9792	3.11	101354
199	9823	2.69	96194
200	9915	2.76	95074
201	10048	2.99	100282
202	10179	2.8	100439
203	10314	3.02	101064
204	10254	3.17	103129
205	10531	3.37	105265
206	10658	3.23	102000
207	10609	2.93	102336
208	10754	2.96	98995
209	10886	2.99	106308
210	10882	3.01	104523
211	11119	3.03	104680
212	11147	3.03	109333
213	11287	3.07	105640
214	11377	3.1	106935
215	11454	3.15	109572
216	11492	3.2	103228
217	11671	3.28	103538
218	11830	3.61	110836
219	12061	3.71	105975
220	12034	3.37	113956
221	12166	3.38	102365
222	12330	3.42	105290
223	12439	3.43	110147
224	12466	3.42	111822
225	12631	3.44	115870
226	12770	3.58	117703
227	12866	3.6	108590
228	13043	3.6	116712
229	13042	3.64	112355
230	13191	3.66	110535
231	13264	4.4	119475
232	13386	1.95	113263
233	13530	2.41	112159
234	13575	4.19	119863
235	13888	4.36	112009
236	13837	3.9	117320
237	14024	3.96	122722
238	14081	3.89	115239
239	14104	3.96	109916
240	14388	3.99	115834
241	14418	4	122857
242	14571	4.01	115833
243	14800	4.1	126004
244	14978	4.7	118735
245	15087	4.41	127584
246	15151	4.29	126231
247	15055	4.28	119027
248	15269	4.22	123261
249	15455	4.29	121782
250	15487	8.83	123359
251	15762	4.44	125286
252	15900	4.43	117957
253	15974	5.13	129873
254	16195	4.74	140760
255	16092	4.68	127047
256	16247	4.79	126607
257	16487	4.47	132469
258	16575	4.48	124459
259	16724	4.96	131917
260	16928	4.63	128385
261	16879	4.92	121000
262	17220	5.18	128782
263	17173	4.75	130595
264	17314	5.48	126279
265	17618	5.29	135718
266	17548	4.89	135459
267	17662	4.82	131440
268	18032	4.91	124240
269	17817	4.8	137250
270	18291	4.97	125432
271	18258	5.14	131692
272	18649	5.14	139055
273	18595	5.08	127922
274	18726	5.21	144283
275	18818	5.2	137589
276	19160	5.19	136492
277	19109	5.17	139929
278	19210	5.21	127677
279	19507	5.28	134180
280	19512	5.3	143848
281	19644	3.3	138824
282	19801	5.31	147734
283	19909	5.46	137608
284	20154	5.49	143157
285	20051	5.44	141466
286	20381	5.55	140120
287	20424	5.55	141373
288	20717	5.61	138602
289	20890	5.68	147450
290	20824	5.64	137937
291	21096	5.81	145571
292	21589	5.94	146754
293	21332	5.85	141615
294	21468	5.92	142874
295	21701	5.87	145573
296	22024	5.99	153087
297	21750	5.88	146999
298	22323	6	145546
299	22476	6.11	148412
300	22390	6.17	141833
301	22550	6.19	146402
302	22772	6.13	146140
303	22860	6.23	147736
304	22862	6.19	143121
305	23274	6.28	144227
306	23308	6.32	149406
307	23268	6.29	151355
308	23685	6.38	158276
309	23913	6.97	153298
310	23962	6.6	156473
311	24079	6.54	141212
312	24095	6.54	150778
313	24470	6.62	150875
314	24595	6.62	147712
315	24792	6.69	151825
316	24970	6.74	150028
317	25110	6.81	149115
318	25111	6.8	159283
319	25416	6.96	154453
320	25554	6.94	159162
321	25682	6.96	163829
322	25836	6.99	159652
323	25897	6.94	166910
324	26282	7.23	157414
325	26278	7.08	160609
326	26584	7.5	161334
327	26475	7.27	172841
328	26740	8	155225
329	27036	7.65	162571
