|V|	|E|	approx_time	approx
330	27403	7.93	158561
331	27232	7.36	174844
332	27521	7.51	168312
333	27591	7.42	170589
334	27795	8.09	170845
335	27999	7.82	168208
336	27876	7.87	166434
337	28204	8.24	159779
338	28296	7.68	163342
339	28535	7.86	158089
340	29003	7.79	171014
341	28939	7.72	173734
342	29005	8.2	165830
343	29439	8.22	173458
344	29463	7.96	170929
345	29600	8.16	164478
346	29785	8.05	167278
347	30055	8.7	175283
348	30219	8.09	166040
349	30388	8.39	162428
350	30577	10.1	168216
351	30725	8.5	175843
352	30770	8.75	178019
353	31055	9.06	175998
354	31467	8.69	177158
355	31550	8.51	179051
356	31543	8.52	170337
357	31827	9.46	172116
358	31878	8.64	173851
359	32406	8.97	177760
360	32178	8.72	179797
361	32370	9.39	181669
362	32600	8.84	199783
363	32581	9.42	177642
364	33162	9.49	184834
365	33418	9.39	180989
366	33604	9.41	174603
367	33672	9.1	193990
368	33738	9.18	183026
369	33812	9.18	180829
370	34107	9.62	183036
371	34290	9.35	183054
372	34417	9.18	188829
373	35097	9.44	168274
374	34727	9.37	183784
375	35005	9.45	182953
376	35104	9.86	178959
377	35474	9.54	188816
378	35778	9.6	190317
379	35867	9.6	184577
380	35955	9.68	188713
381	36120	9.88	186761
382	36137	9.71	187537
383	36545	9.74	191663
384	36690	9.86	194937
385	37096	9.96	193804
386	37041	10.1	203970
387	37333	11.3	185432
388	37381	9.96	199061
389	37832	10.3	182501
390	38026	10.2	192701
391	38324	10.3	188000
392	38184	10.7	182049
393	38358	10.6	195263
394	38647	10.3	196300
395	39037	10.4	191630
396	39057	10.4	196088
397	39177	10.5	188543
398	39402	11.1	191493
399	39991	11	195021
400	39909	10.6	199348
401	40314	11.6	198676
402	40270	10.8	197064
403	40846	11.7	196023
404	40717	10.9	203153
405	40998	11.9	193194
406	40890	11	206834
407	41439	11	197017
408	41477	11.1	202926
409	41919	11.2	196835
410	41972	11.5	206313
411	42297	11.3	194443
412	42239	11.3	201642
413	42575	12.2	207747
414	42641	11.4	201370
415	43048	11.6	202825
416	43115	11.5	208798
417	43345	11.5	206917
418	43492	11.8	202900
419	43690	11.7	212294
420	44406	11.9	210829
421	44172	11.8	215319
422	44125	11.7	199066
423	44555	12.9	203455
424	44927	12	213380
425	45191	13.1	224493
426	45237	12.1	213694
427	45544	12.2	215355
428	45720	12.3	217150
429	45752	12.7	207658
430	46037	12.3	207719
431	46495	13.4	215995
432	46579	12.4	219662
433	46953	12.5	218029
434	47120	13.6	222249
435	47356	12.7	220747
436	47270	12.7	212615
437	47496	12.8	211617
438	47789	11.1	213985
439	48256	12	218080
440	48239	12.8	219979
441	48470	13	221372
442	49031	13.1	214119
443	49086	13.2	213254
444	49322	13.2	225037
445	49602	13.2	220586
446	49500	13.2	225599
447	49897	13.3	228421
448	49865	13.6	219028
449	50264	14.4	223288
450	50622	13.5	220706
451	50783	13.5	220153
452	50958	13.8	239859
453	51270	13.8	228243
454	51259	13.7	216021
455	51662	13.8	233357
456	51693	13.9	229378
457	52290	14.1	222833
458	52187	13.9	230260
459	52402	14.1	225801
460	52970	14.6	233258
461	52792	14.5	226925
462	53090	14.2	241756
463	53298	14.2	238209
464	53689	14.5	242249
465	53806	14.7	229194
466	54347	15.5	229318
467	54317	14.8	226794
468	54595	14.5	233203
469	54709	14.5	240709
470	55026	14.9	227622
471	55417	14.7	238338
472	55587	16	244743
473	55785	14.8	244515
474	55676	15.3	234064
475	56157	15	231038
476	56461	16.2	235575
477	56765	15.3	247456
478	57057	15.4	227518
479	56745	15.1	234666
480	57638	15.4	241621
481	57762	15.4	235415
482	58156	16.7	240601
483	58248	15.7	231185
484	58368	16.5	247741
485	58518	15.7	236878
486	58829	15.7	252795
487	59070	15.7	251859
488	59557	16.7	241929
489	59726	16	235284
490	59956	15.8	246035
491	60262	12.6	248527
492	60401	16.3	250416
493	60816	17.1	247788
494	61063	16.3	244119
495	61522	17.2	250632
496	60920	16.3	247110
497	61350	17.7	246850
498	62007	16.9	250334
499	61902	16.5	242615
500	62352	17.8	247250
