|V|	|E|	time	approx
500	62087	11.9	248066
500	62576	12.4	250900
500	62292	19.1	238398
500	62490	18.7	260997
500	62380	18.2	249262
500	62464	21.3	243972
500	62133	18.4	247066
500	62187	18.5	249642
500	62195	18.1	256232
500	62317	20.8	250187
500	62222	18.6	257768
500	62203	19.2	251253
500	62154	18.2	263950
500	62668	19.1	246679
500	62336	20.1	239115
500	62230	18.4	261060
500	62481	18.4	251007
500	62746	18.4	249554
500	62409	18.4	250363
500	62121	18.1	255150
500	62246	18.4	247853
500	62668	18.3	243803
500	62366	18.6	253180
500	62494	18.6	251047
500	62483	18.6	242433
