|V|	|E|	time	approx	optimal
7	8	0.009	537	0.361	537
7	11	0.009	1061	0.466	1061
7	9	0.007	1895	0.414	1413
7	10	0.01	2202	0.433	1406
7	8	0.008	1547	0.387	1298
7	9	0.009	1194	0.456	1156
7	12	0.013	3137	0.49	2319
7	11	0.009	2396	0.464	1470
7	9	0.008	2325	0.444	2068
7	6	0.008	1260	0.313	1260
7	9	0.009	2273	0.393	2273
7	11	0.009	1391	0.471	1391
7	12	0.009	2762	0.498	2057
7	12	0.009	2500	0.511	1539
7	10	0.01	2806	0.498	1815
7	8	0.011	843	0.369	843
7	10	0.009	1330	0.43	827
7	9	0.008	2670	0.409	1750
7	9	0.008	2626	0.409	1739
7	10	0.009	1694	0.43	1694
7	12	0.011	3274	0.498	2089
7	9	0.008	1709	0.416	1296
7	15	0.011	2727	0.616	1837
7	14	0.013	1798	0.558	1272
7	7	0.007	1269	0.39	1269
7	12	0.014	2420	0.497	2100
7	13	0.011	647	0.53	647
7	13	0.01	1277	0.531	1277
7	12	0.009	3252	0.519	1997
7	4	0.006	715	0.236	358
7	10	0.009	3058	0.437	2121
7	12	0.008	1689	0.494	1505
7	6	0.007	1976	0.303	1371
7	6	0.006	2676	0.297	2220
7	13	0.01	1561	0.536	1561
7	11	0.009	1198	0.489	761
7	11	0.013	2459	0.477	2420
7	8	0.01	1907	0.382	1310
7	10	0.009	2950	0.448	2032
7	11	0.01	1857	0.476	1811
7	10	0.01	1244	0.433	1244
7	8	0.008	2358	0.37	1441
7	11	0.009	586	0.469	586
7	14	0.01	1687	0.569	1463
7	6	0.007	1849	0.302	1158
7	10	0.008	2186	0.477	1128
7	12	0.011	1322	0.493	1322
7	10	0.009	1875	0.444	1256
7	10	0.011	3082	0.46	2431
7	13	0.012	1861	0.567	1349
7	15	0.012	3552	0.613	2883
7	11	0.011	3516	0.465	2398
7	11	0.01	2595	0.484	2029
7	9	0.008	2136	0.401	1255
7	10	0.008	870	0.434	870
7	10	0.008	3115	0.435	2278
7	7	0.007	1331	0.335	1058
7	11	0.009	2117	0.464	1972
7	10	0.01	1738	0.432	1195
7	11	0.009	2561	0.468	1338
7	12	0.01	3038	0.497	2511
7	10	0.01	3571	0.449	2002
7	12	0.01	2204	0.496	1987
7	9	0.008	860	0.436	734
7	10	0.011	1437	0.487	1437
7	9	0.012	1889	0.405	1389
7	11	0.008	2020	0.472	1823
7	11	0.01	2399	0.466	1579
7	11	0.009	2106	0.466	1944
7	11	0.01	2279	0.472	1450
7	8	0.008	1438	0.368	1438
7	10	0.008	1733	0.435	1733
7	12	0.009	3460	0.508	2062
7	11	0.009	2669	0.465	1674
7	6	0.006	1686	0.3	1686
7	5	0.006	2073	0.275	1645
7	13	0.01	1689	0.53	1689
7	8	0.008	2552	0.367	1644
7	6	0.006	381	0.295	381
7	11	0.009	2380	0.465	1541
7	10	0.008	1103	0.433	1103
7	7	0.008	2749	0.337	1640
7	11	0.009	1512	0.47	1196
7	10	0.008	2115	0.445	1461
7	12	0.011	2049	0.502	1731
7	9	0.008	494	0.425	494
7	10	0.015	1562	0.449	1373
7	10	0.01	2491	0.43	1972
7	7	0.007	2028	0.336	1546
7	11	0.01	3067	0.498	1778
7	12	0.012	1460	0.514	1173
7	9	0.011	1949	0.419	1045
7	10	0.01	2095	0.434	1673
7	10	0.009	1519	0.437	1519
7	15	0.011	2651	0.601	1950
7	7	0.008	3438	0.329	2361
7	12	0.01	3026	0.499	2003
7	12	0.01	1720	0.495	1521
7	11	0.008	2059	0.472	2054
7	11	0.009	2174	0.466	1751
7	10	0.009	3242	0.44	2255
7	6	0.007	1816	0.311	1687
7	11	0.009	1658	0.496	1338
7	9	0.01	1907	0.404	1346
7	6	0.007	1714	0.304	1016
7	9	0.008	1810	0.487	1769
7	12	0.013	2842	0.523	1839
7	11	0.011	1902	0.462	1902
7	13	0.009	1274	0.517	1274
7	11	0.008	1527	0.468	863
7	13	0.01	1354	0.554	1166
7	13	0.013	3807	0.536	2383
7	10	0.009	2893	0.434	2497
7	9	0.008	451	0.394	451
7	8	0.008	1050	0.428	1050
7	11	0.013	2688	0.467	1542
7	11	0.008	1162	0.467	1162
7	10	0.008	2566	0.433	1722
7	12	0.01	2375	0.577	1254
7	9	0.011	1697	0.405	1344
7	10	0.01	2581	0.458	1739
7	9	0.012	2173	0.413	1640
7	11	0.01	3014	0.482	2577
7	9	0.01	959	0.41	922
7	11	0.012	2442	0.47	1599
7	13	0.012	2328	0.604	1915
7	14	0.015	3105	0.595	1999
7	12	0.019	1064	0.531	647
7	7	0.011	1616	0.403	1288
7	11	0.016	1511	0.52	1511
7	12	0.013	2253	0.508	1697
7	8	0.007	381	0.371	355
7	11	0.01	3665	0.478	2325
7	11	0.012	1835	0.493	1390
7	8	0.011	2370	0.374	1732
7	15	0.011	3321	0.69	1699
7	10	0.015	2613	0.439	2038
7	13	0.01	2159	0.53	1834
7	4	0.005	653	0.221	653
7	12	0.01	2039	0.507	1309
7	12	0.009	1453	0.495	1206
7	11	0.011	2893	0.488	1613
7	12	0.011	3014	0.5	2733
7	12	0.01	2466	0.558	2273
7	9	0.011	996	0.394	996
7	10	0.01	3011	0.427	1991
7	13	0.01	3597	0.53	2647
7	13	0.009	2071	0.531	1315
7	12	0.009	3168	0.529	1618
7	7	0.01	1234	0.335	1234
7	7	0.007	2928	0.328	1751
7	11	0.009	2346	0.474	2283
7	13	0.01	3770	0.535	2443
7	9	0.009	2414	0.407	1780
7	12	0.009	3098	0.507	3054
7	10	0.011	2016	0.433	1577
7	11	0.009	2096	0.48	1789
7	10	0.01	1203	0.476	1154
7	7	0.007	1263	0.345	961
7	14	0.012	3576	0.572	2092
7	8	0.009	2342	0.37	2330
7	9	0.01	2886	0.421	1958
7	11	0.014	3031	0.475	1920
7	10	0.015	3433	0.436	2628
7	11	0.011	2835	0.588	2332
7	13	0.013	2214	0.528	1352
7	5	0.006	961	0.338	961
7	10	0.012	3076	0.435	2178
7	7	0.007	1456	0.368	1456
7	13	0.012	1996	0.535	1996
7	10	0.009	1648	0.436	1496
7	10	0.01	1744	0.438	929
7	8	0.009	4144	0.378	2221
7	9	0.009	518	0.402	518
7	8	0.008	1043	0.371	871
7	11	0.008	1484	0.526	1484
7	10	0.011	2300	0.433	2241
7	17	0.021	2697	0.652	2148
7	11	0.009	614	0.467	614
7	12	0.01	3171	0.494	2197
7	11	0.01	2467	0.568	1764
7	7	0.011	2359	0.342	1580
7	6	0.007	1679	0.293	1111
7	14	0.01	3163	0.557	2182
7	12	0.009	2107	0.496	1638
7	13	0.009	3019	0.535	2509
7	8	0.008	1771	0.387	1173
7	15	0.014	1488	0.592	1300
7	8	0.007	2728	0.38	2040
7	11	0.01	2457	0.465	1910
7	12	0.009	1519	0.505	1282
7	11	0.009	3459	0.474	2526
7	10	0.008	2026	0.434	1516
7	11	0.009	2672	0.484	2048
7	11	0.011	2519	0.475	1525
7	13	0.01	3546	0.524	1983
7	10	0.01	3155	0.435	2650
7	9	0.008	913	0.401	913
7	7	0.008	2033	0.334	1101
7	13	0.01	3735	0.568	2551
7	8	0.011	2426	0.381	2075
7	12	0.01	2334	0.493	2263
7	9	0.008	2419	0.398	2038
7	11	0.008	1402	0.463	1276
7	10	0.008	1433	0.456	1433
7	12	0.011	1857	0.504	1603
7	9	0.008	1316	0.482	1316
7	13	0.013	2325	0.552	2149
7	8	0.009	3019	0.358	2171
7	7	0.008	2666	0.334	1804
7	15	0.011	3380	0.596	2171
7	10	0.008	1452	0.436	1452
7	14	0.01	2345	0.571	2061
7	5	0.007	1320	0.259	968
7	13	0.011	2784	0.592	2201
7	11	0.013	2014	0.475	1182
7	11	0.01	2698	0.467	1952
7	8	0.007	584	0.367	584
7	14	0.01	2020	0.557	2020
7	9	0.008	3122	0.491	2290
7	15	0.014	1217	0.592	963
7	7	0.008	1273	0.331	1243
7	10	0.009	2171	0.438	1582
7	9	0.008	2111	0.406	1305
7	9	0.008	1205	0.403	970
7	5	0.006	1967	0.27	1481
7	10	0.009	2207	0.435	1468
7	11	0.009	3394	0.466	2482
7	10	0.008	1198	0.454	1198
7	11	0.01	1181	0.478	1181
7	12	0.01	1940	0.496	1940
7	15	0.01	2580	0.594	2334
7	12	0.01	2031	0.497	1488
7	13	0.009	3237	0.529	2144
7	8	0.007	1154	0.378	1154
7	9	0.009	2373	0.411	2253
7	14	0.011	3156	0.571	2561
7	8	0.008	999	0.366	999
7	10	0.008	3699	0.434	2274
7	10	0.008	697	0.439	697
7	13	0.016	782	0.556	782
7	14	0.013	1210	0.559	1210
7	11	0.008	1858	0.455	1136
7	13	0.009	1469	0.537	1438
7	8	0.008	2666	0.374	1726
7	10	0.009	2252	0.513	1495
7	14	0.013	3156	0.641	2005
7	12	0.012	2730	0.5	2603
7	13	0.011	1959	0.549	1182
7	9	0.01	1974	0.394	1561
7	14	0.012	4114	0.585	3276
7	6	0.009	747	0.303	747
7	11	0.009	2614	0.466	1623
7	13	0.01	2461	0.585	1705
7	8	0.011	2584	0.369	1422
7	11	0.009	2757	0.485	2757
7	12	0.012	2015	0.499	1375
7	10	0.009	1739	0.434	992
7	14	0.01	1896	0.595	1896
7	9	0.01	1757	0.402	1397
7	12	0.009	864	0.502	864
7	9	0.007	1977	0.404	1449
7	10	0.009	1054	0.437	633
7	5	0.006	1732	0.278	878
7	7	0.008	1857	0.336	1857
7	11	0.008	2200	0.473	2200
7	6	0.007	1908	0.289	1908
7	7	0.008	2966	0.355	1541
7	7	0.008	989	0.333	989
7	8	0.008	1437	0.365	1293
7	8	0.007	1207	0.396	830
7	10	0.01	1636	0.427	1608
7	8	0.007	893	0.373	893
7	8	0.008	2773	0.37	1576
7	7	0.007	887	0.331	887
7	13	0.01	2846	0.53	2055
7	13	0.009	1509	0.544	1509
7	12	0.01	1804	0.497	1474
7	9	0.007	1507	0.399	1173
7	10	0.009	1720	0.44	1601
7	13	0.01	1614	0.53	1193
7	9	0.008	2175	0.399	1215
7	12	0.009	2698	0.494	1965
7	9	0.008	3302	0.403	2468
7	13	0.01	3216	0.537	2262
7	12	0.01	2928	0.541	2559
7	9	0.011	1615	0.398	1218
7	9	0.007	921	0.393	774
7	10	0.008	1162	0.432	1162
7	11	0.009	2209	0.462	1947
7	10	0.007	1257	0.422	1257
7	11	0.009	1959	0.466	1289
7	11	0.009	2942	0.479	1988
7	11	0.011	1508	0.489	1462
7	8	0.014	2740	0.436	1693
7	14	0.019	4150	0.574	2639
7	14	0.012	2133	0.594	1515
7	7	0.014	571	0.349	571
7	10	0.011	2175	0.435	1440
7	11	0.009	2015	0.466	1168
7	11	0.009	2486	0.47	1351
7	12	0.01	1951	0.499	1217
7	12	0.009	593	0.519	593
7	9	0.011	1797	0.404	1364
7	12	0.01	1796	0.505	1182
7	11	0.009	1622	0.462	1454
7	13	0.01	3283	0.522	2177
7	11	0.008	2107	0.477	1864
7	12	0.01	1791	0.496	1160
7	7	0.007	535	0.331	535
7	10	0.009	2449	0.444	1330
7	9	0.009	2565	0.404	1476
7	12	0.009	908	0.499	908
7	8	0.007	1806	0.373	999
7	8	0.008	1949	0.423	1096
7	11	0.011	1394	0.513	1394
7	13	0.012	1461	0.592	1461
7	10	0.013	2635	0.435	1736
7	16	0.011	2858	0.624	2702
7	6	0.006	1201	0.294	1088
7	13	0.01	1239	0.55	1239
7	10	0.011	2458	0.446	2137
7	11	0.011	3022	0.465	2105
7	9	0.009	2353	0.457	1613
7	8	0.02	2656	0.398	1621
7	11	0.012	1623	0.466	1623
7	10	0.008	1231	0.436	1231
7	14	0.01	2112	0.563	2112
7	10	0.009	1321	0.435	1291
7	10	0.008	1889	0.439	1742
7	11	0.008	1392	0.469	1392
7	12	0.014	3237	0.532	2275
7	12	0.016	2137	0.538	1160
7	7	0.015	2189	0.462	1470
7	10	0.017	3082	0.434	2150
7	10	0.011	3159	0.429	1942
7	6	0.007	2435	0.305	1876
7	12	0.009	1343	0.496	1343
7	8	0.008	3361	0.372	1979
7	12	0.009	2519	0.514	1974
7	13	0.014	959	0.538	959
7	13	0.01	1441	0.531	1441
7	11	0.008	576	0.463	576
7	15	0.011	2565	0.595	1694
7	8	0.008	2267	0.375	1612
7	13	0.01	1409	0.53	725
7	11	0.009	2674	0.472	1784
7	10	0.011	2812	0.433	1567
7	11	0.009	2011	0.46	1213
7	9	0.009	847	0.406	571
7	7	0.007	1277	0.333	1099
7	11	0.009	2602	0.502	1716
7	8	0.011	2126	0.39	2115
7	11	0.011	2742	0.485	1882
7	9	0.01	1323	0.452	818
7	9	0.012	1476	0.415	1396
7	10	0.013	1081	0.527	1081
7	13	0.014	3832	0.526	2296
7	8	0.007	1934	0.389	1665
7	9	0.014	1578	0.47	967
7	10	0.012	1816	0.482	1138
7	13	0.013	2809	0.532	2151
7	10	0.013	1216	0.592	1205
7	12	0.013	1808	0.57	1508
7	13	0.012	3019	0.532	1983
7	11	0.01	3212	0.468	2156
7	9	0.008	1823	0.417	1259
7	13	0.013	2907	0.553	1722
7	9	0.01	1485	0.422	1215
7	11	0.01	1636	0.47	1636
7	11	0.008	2265	0.46	2265
7	11	0.009	1553	0.467	932
7	12	0.009	2800	0.495	2598
7	12	0.01	1806	0.502	1128
7	12	0.009	3562	0.497	2633
7	9	0.008	2260	0.404	1793
7	10	0.009	2286	0.437	1619
7	10	0.009	3506	0.441	1776
7	9	0.008	1953	0.395	1447
7	11	0.01	1286	0.473	796
7	11	0.009	2592	0.472	2185
7	10	0.008	951	0.448	951
7	8	0.009	2659	0.377	1788
7	11	0.008	744	0.492	744
7	12	0.01	1627	0.488	1627
7	6	0.006	1441	0.294	1390
7	11	0.009	2297	0.474	1363
7	11	0.011	2163	0.472	1530
7	11	0.007	2042	0.454	2042
7	11	0.009	1490	0.465	1354
7	14	0.01	2464	0.551	2167
7	13	0.009	2425	0.527	1678
7	10	0.008	2006	0.431	1150
7	12	0.009	1994	0.507	1392
7	10	0.009	1394	0.438	1394
7	11	0.009	1923	0.469	1346
7	5	0.006	1898	0.267	1306
7	9	0.007	1846	0.4	1579
7	11	0.009	2478	0.469	2125
7	11	0.009	2226	0.467	1510
7	8	0.008	1813	0.383	1219
7	11	0.01	3284	0.57	2225
7	10	0.022	2164	0.432	1562
7	11	0.01	2609	0.464	1661
7	9	0.008	1226	0.395	818
7	12	0.01	4683	0.498	3029
7	14	0.01	2216	0.559	2157
7	11	0.009	2141	0.469	1471
7	11	0.009	1446	0.466	1446
7	9	0.008	2097	0.415	1432
7	8	0.008	2226	0.365	1320
7	12	0.01	4064	0.503	2285
7	7	0.009	3371	0.412	1786
7	6	0.009	607	0.297	404
7	9	0.009	1919	0.469	1784
7	13	0.012	2258	0.535	1740
7	11	0.009	3160	0.487	2810
7	11	0.013	1524	0.47	872
7	10	0.02	2368	0.441	1482
7	8	0.008	1312	0.361	1081
7	12	0.01	613	0.498	384
7	17	0.012	3041	0.653	2535
7	8	0.008	2967	0.367	1699
7	10	0.009	2384	0.436	1586
7	14	0.01	2761	0.564	1989
7	12	0.01	1768	0.507	1715
7	11	0.011	2976	0.466	1834
7	13	0.01	720	0.535	720
7	13	0.01	2145	0.531	1648
7	9	0.009	3225	0.406	1630
7	12	0.01	1903	0.537	1497
7	7	0.01	648	0.328	532
7	13	0.01	3297	0.529	2740
7	6	0.007	2622	0.315	1658
7	9	0.009	1254	0.395	1048
7	8	0.007	969	0.363	969
7	11	0.008	1167	0.481	1167
7	15	0.011	1588	0.585	1588
7	11	0.01	2260	0.473	1781
7	10	0.009	1728	0.478	1104
7	8	0.014	2076	0.487	1409
7	10	0.011	2590	0.459	1661
7	11	0.011	1705	0.499	1347
7	13	0.012	3046	0.546	3046
7	15	0.011	1687	0.597	1687
7	9	0.01	991	0.415	640
7	11	0.011	2800	0.505	1455
7	8	0.01	1837	0.381	1717
7	11	0.01	1767	0.479	1607
7	11	0.01	2340	0.47	1688
7	12	0.009	2788	0.521	2615
7	9	0.015	2821	0.419	2040
7	9	0.014	1417	0.394	1417
7	10	0.009	994	0.447	880
7	11	0.011	1975	0.499	1469
7	12	0.013	3144	0.519	1836
7	12	0.012	2971	0.519	1854
7	10	0.01	1340	0.43	1340
7	13	0.01	3245	0.536	2384
7	9	0.008	1534	0.4	1294
7	9	0.008	973	0.397	973
7	12	0.009	1762	0.496	1495
7	6	0.007	4073	0.304	2422
7	7	0.006	1236	0.334	1236
7	12	0.009	1043	0.504	1043
7	11	0.009	1156	0.466	1156
7	8	0.008	1914	0.372	1498
7	11	0.01	1877	0.473	1364
7	10	0.009	2759	0.436	2239
7	14	0.01	3164	0.559	1964
7	9	0.009	2098	0.401	1583
7	11	0.009	2573	0.47	1639
7	11	0.01	4081	0.464	2315
7	10	0.01	3619	0.443	2042
7	11	0.008	608	0.47	608
7	10	0.009	907	0.432	839
7	14	0.01	1829	0.575	1272
7	11	0.011	2857	0.465	2007
7	9	0.007	1906	0.468	1906
7	11	0.012	1246	0.623	1246
7	12	0.011	1989	0.509	1468
7	11	0.009	724	0.464	724
7	11	0.009	3111	0.466	2580
7	7	0.008	2776	0.337	1805
7	10	0.008	1763	0.441	1294
7	8	0.008	3177	0.371	2350
7	11	0.008	1909	0.472	1646
7	13	0.012	2893	0.531	2125
7	9	0.007	2263	0.413	1424
7	10	0.01	3456	0.432	2187
7	9	0.009	2781	0.438	1401
7	10	0.015	1235	0.437	1204
7	10	0.011	2095	0.44	1529
7	10	0.009	1411	0.44	1177
7	16	0.011	3961	0.644	3050
7	11	0.011	1613	0.469	1052
7	11	0.009	1424	0.49	1087
7	5	0.008	995	0.266	995
7	14	0.009	1666	0.55	1666
7	7	0.007	1711	0.339	872
7	14	0.011	2689	0.566	1785
7	8	0.007	552	0.362	552
7	12	0.009	3081	0.498	2283
7	7	0.007	1710	0.326	999
7	7	0.007	1998	0.336	1482
7	9	0.007	1491	0.405	1491
7	11	0.01	2889	0.467	1774
7	8	0.007	2542	0.367	1857
7	11	0.008	2479	0.465	2169
7	9	0.008	2346	0.402	1423
7	7	0.01	1142	0.336	1142
7	13	0.011	2360	0.534	2215
7	11	0.011	2192	0.469	1521
7	10	0.013	2447	0.443	1698
7	11	0.011	2240	0.52	2013
7	13	0.013	1824	0.56	1491
7	8	0.01	2611	0.368	2182
7	10	0.01	3913	0.454	2311
7	17	0.014	2281	0.773	1875
7	15	0.018	1981	0.617	1178
7	7	0.009	1838	0.349	1347
7	12	0.012	2735	0.508	1863
7	13	0.011	2334	0.541	1972
7	10	0.01	956	0.435	956
7	15	0.011	2166	0.589	1483
7	15	0.011	1827	0.596	1413
7	8	0.007	1735	0.367	1434
7	9	0.009	1795	0.409	1551
7	10	0.009	2464	0.43	1750
7	10	0.009	2631	0.439	1892
7	16	0.016	2903	0.676	1962
7	8	0.011	1698	0.37	955
7	9	0.008	3205	0.403	2327
7	9	0.007	2644	0.415	2333
7	5	0.008	336	0.265	336
7	15	0.011	3346	0.607	2439
7	11	0.01	2504	0.465	2277
7	7	0.007	2091	0.34	1458
7	7	0.008	1445	0.336	1274
7	14	0.01	1407	0.583	1407
7	6	0.009	2046	0.314	1319
7	11	0.01	2416	0.461	1527
7	12	0.009	1970	0.5	1573
7	15	0.01	2135	0.589	1537
7	12	0.009	2336	0.51	1629
7	8	0.008	1113	0.371	1113
7	12	0.01	2554	0.495	1918
7	19	0.012	2319	0.711	1874
7	7	0.008	1756	0.332	1218
7	12	0.009	3338	0.5	2707
7	13	0.01	3961	0.531	2912
7	9	0.007	2630	0.403	2010
7	9	0.009	1727	0.411	872
7	9	0.01	3202	0.398	1683
7	11	0.01	3014	0.465	1678
7	13	0.01	2311	0.529	1961
7	11	0.008	403	0.568	403
7	15	0.013	1600	0.59	1236
7	10	0.009	1947	0.435	1260
7	13	0.009	1052	0.553	1052
7	13	0.012	1429	0.53	1429
7	12	0.01	3254	0.496	2328
7	11	0.008	2176	0.457	1749
7	13	0.01	1724	0.528	1724
7	14	0.009	2187	0.552	2187
7	13	0.009	2382	0.525	1632
7	11	0.008	750	0.483	750
7	9	0.008	772	0.404	772
7	8	0.007	2444	0.426	1774
7	12	0.011	1261	0.492	1261
7	8	0.008	2540	0.382	1760
7	8	0.009	1626	0.378	1021
7	5	0.008	1816	0.254	1385
7	16	0.011	1952	0.634	1580
7	9	0.009	1645	0.419	1393
7	11	0.014	2944	0.476	2053
7	9	0.01	3864	0.404	2344
7	14	0.01	2478	0.562	2478
7	9	0.009	2563	0.404	1300
7	11	0.008	923	0.46	923
7	11	0.009	3005	0.462	1824
7	11	0.008	954	0.459	954
7	8	0.008	2049	0.389	1482
7	9	0.01	2983	0.408	2089
7	12	0.011	3045	0.518	2366
7	12	0.01	1789	0.492	1598
7	12	0.008	1844	0.491	1671
7	6	0.008	2348	0.303	1305
7	13	0.01	1342	0.532	1342
7	12	0.008	2381	0.49	2351
7	10	0.008	2893	0.448	2361
7	7	0.007	534	0.337	534
7	8	0.008	2049	0.439	1651
7	14	0.015	3078	0.738	2104
7	9	0.011	1288	0.515	1288
7	5	0.012	363	0.314	363
7	11	0.012	1434	0.462	1082
7	8	0.007	1162	0.369	1078
7	6	0.008	2209	0.303	1626
7	12	0.01	3238	0.506	2380
7	11	0.01	1917	0.479	1917
7	9	0.01	2355	0.405	2080
7	15	0.01	2510	0.591	1881
7	11	0.009	2329	0.471	1964
7	13	0.01	1828	0.53	1451
7	7	0.006	1102	0.33	1102
7	11	0.009	3510	0.475	2805
7	8	0.008	1589	0.374	1002
7	10	0.009	2473	0.435	1977
7	12	0.009	3046	0.496	2291
7	10	0.008	1789	0.432	1644
7	10	0.008	1134	0.475	1134
7	13	0.015	2498	0.538	1812
7	11	0.01	1776	0.476	1438
7	5	0.013	367	0.343	342
7	12	0.015	2924	0.498	2393
7	11	0.009	1531	0.473	1531
7	10	0.01	3221	0.437	2014
7	11	0.011	2107	0.473	1537
7	8	0.008	2752	0.382	1915
7	13	0.011	2271	0.536	1966
7	9	0.01	1306	0.414	819
7	11	0.01	1030	0.492	1030
7	9	0.01	1494	0.41	1211
7	13	0.011	2100	0.548	1546
7	9	0.008	1133	0.396	1133
7	7	0.008	1452	0.372	833
7	9	0.013	1787	0.411	1050
7	8	0.01	1314	0.407	1157
7	10	0.017	2714	0.509	1816
7	14	0.013	3689	0.58	2721
7	10	0.009	2436	0.437	1938
7	14	0.01	2199	0.56	2080
7	10	0.008	1466	0.5	1466
7	8	0.016	2271	0.5	1537
7	12	0.015	1931	0.557	1574
7	7	0.01	1617	0.333	1474
7	12	0.01	2507	0.536	1740
7	5	0.01	2313	0.273	1206
7	12	0.01	3053	0.534	1868
7	12	0.012	2667	0.492	1793
7	13	0.01	1811	0.533	934
7	10	0.008	2206	0.433	1909
7	7	0.007	1312	0.343	1312
7	10	0.009	3755	0.438	2189
7	10	0.009	2759	0.441	1853
7	11	0.009	2760	0.476	1605
7	10	0.009	1785	0.427	1709
7	8	0.008	2342	0.45	1573
7	12	0.013	2624	0.524	1990
7	10	0.011	1686	0.436	1020
7	13	0.011	1744	0.53	1241
7	9	0.008	1826	0.401	1131
7	10	0.008	2087	0.425	2029
7	8	0.007	1255	0.392	1255
7	10	0.009	1842	0.437	1842
7	18	0.012	1829	0.682	1829
7	8	0.008	1184	0.369	956
7	9	0.009	2509	0.427	1902
7	6	0.01	1968	0.304	1599
7	6	0.007	1131	0.315	1046
7	10	0.009	2752	0.44	1866
7	10	0.008	3136	0.445	2502
7	10	0.01	2859	0.438	1453
7	8	0.007	1576	0.363	1125
7	14	0.01	1903	0.568	1031
7	11	0.01	2072	0.489	1719
7	9	0.011	2475	0.401	2088
7	10	0.009	3694	0.427	2597
7	10	0.009	2353	0.444	1295
7	10	0.008	1563	0.449	1259
7	11	0.01	2374	0.464	1790
7	6	0.006	774	0.308	774
7	11	0.009	2618	0.571	1768
7	10	0.011	2477	0.433	1541
7	13	0.01	1948	0.529	1707
7	10	0.008	1736	0.427	1358
7	9	0.007	2165	0.398	1782
7	12	0.01	995	0.497	995
7	8	0.009	2015	0.368	1041
7	12	0.011	600	0.517	600
7	14	0.012	4388	0.556	2473
7	14	0.01	2361	0.558	1834
7	11	0.009	2557	0.465	2557
7	12	0.009	3136	0.496	2524
7	7	0.007	2257	0.336	2123
7	13	0.009	1535	0.543	1503
7	12	0.009	2133	0.493	2133
7	8	0.009	3075	0.37	1618
7	10	0.009	1299	0.439	935
7	10	0.01	2700	0.436	1918
7	11	0.009	1179	0.465	829
7	13	0.01	3480	0.534	2725
7	14	0.01	2253	0.559	1723
7	13	0.01	2882	0.537	1955
7	14	0.011	3223	0.563	3101
7	9	0.008	1112	0.397	684
7	11	0.01	3208	0.462	1792
7	11	0.009	1057	0.479	657
7	9	0.013	2225	0.4	1619
7	10	0.008	1214	0.429	755
7	11	0.009	2272	0.466	2017
7	10	0.009	701	0.457	511
7	10	0.01	1272	0.452	1272
7	6	0.008	1333	0.321	748
7	11	0.015	1902	0.484	1326
7	8	0.011	2373	0.4	1366
7	11	0.011	2637	0.463	1988
7	13	0.01	2793	0.529	2088
7	11	0.008	2187	0.484	2109
7	11	0.011	2369	0.494	1720
7	12	0.011	2670	0.51	1879
7	8	0.009	2218	0.444	1470
7	5	0.009	859	0.357	526
7	9	0.015	2507	0.44	2077
7	7	0.011	1128	0.341	846
7	9	0.008	1887	0.403	1258
7	12	0.009	1940	0.524	1110
7	9	0.011	2708	0.42	1764
7	13	0.011	2455	0.531	1927
7	9	0.008	1785	0.4	1602
7	10	0.009	1700	0.436	1028
7	10	0.009	2029	0.429	1258
7	11	0.009	1236	0.466	1236
7	9	0.009	3290	0.399	2195
7	12	0.009	2458	0.534	2307
7	10	0.011	2334	0.446	1509
7	6	0.008	904	0.301	751
7	11	0.008	1947	0.466	1689
7	9	0.008	2548	0.401	1954
7	7	0.007	591	0.364	591
7	10	0.013	976	0.608	602
7	9	0.014	1496	0.444	1496
7	14	0.014	3621	0.557	1953
7	12	0.01	496	0.505	496
7	10	0.009	1677	0.434	1305
7	14	0.011	1753	0.56	957
7	14	0.01	1526	0.565	1526
7	10	0.009	2531	0.436	1409
7	10	0.009	1331	0.435	1066
7	6	0.008	3095	0.303	2126
7	12	0.01	2503	0.509	1648
7	10	0.009	2081	0.442	1693
7	13	0.012	3180	0.529	2265
7	12	0.01	1361	0.504	1361
7	10	0.009	1940	0.447	1065
7	8	0.01	2647	0.373	1960
7	9	0.008	2134	0.399	1374
7	10	0.009	2084	0.437	1505
7	8	0.007	1457	0.37	1457
7	13	0.01	1166	0.544	801
7	11	0.011	2244	0.535	1522
7	13	0.015	2299	0.619	2299
7	9	0.011	1817	0.41	1390
7	10	0.008	1809	0.434	1646
7	13	0.011	3787	0.546	2423
7	11	0.011	1994	0.465	1328
7	7	0.008	3431	0.351	2151
7	12	0.011	890	0.496	890
7	12	0.01	3452	0.5	2741
7	13	0.01	2385	0.529	1606
7	6	0.006	1333	0.297	1121
7	13	0.01	3288	0.547	2127
7	9	0.01	2571	0.403	1372
7	11	0.01	1654	0.483	1654
7	9	0.011	2603	0.414	1382
7	12	0.011	930	0.517	930
7	9	0.01	1021	0.405	853
7	10	0.009	1726	0.44	1348
7	8	0.007	2109	0.368	1770
7	5	0.006	1134	0.267	693
7	12	0.01	2848	0.494	1686
7	14	0.011	2697	0.558	1558
7	6	0.006	2124	0.294	1283
7	10	0.009	2906	0.461	2442
7	11	0.01	1312	0.472	1312
7	10	0.009	1966	0.431	1806
7	10	0.009	2818	0.438	1894
7	15	0.01	1372	0.589	919
7	11	0.009	2956	0.465	1773
7	9	0.007	1992	0.401	1881
7	15	0.011	1237	0.611	1237
7	7	0.009	571	0.335	571
7	13	0.01	3025	0.535	2080
7	9	0.008	1716	0.394	926
7	14	0.011	2385	0.556	1229
7	13	0.009	2723	0.53	1966
