|V|	|E|	time	approx
500	99587	29.7	244038
500	99863	30.6	254100
500	99753	37	243370
500	99671	35.8	242479
500	99940	43.3	250776
500	100042	30.7	245597
500	99971	40.3	242882
500	100112	37.8	240093
500	99761	31	257195
500	99956	37.4	248718
500	99790	38.2	248220
500	99761	30.8	247119
500	99833	30.1	235966
500	99791	31.8	248506
500	99944	37.7	248078
500	99911	34.9	252124
500	99825	34.8	253189
500	99640	32.4	256524
500	99689	37.5	240333
500	99746	31.4	257175
500	99786	30.9	250394
500	99904	30.7	261150
500	99884	30.6	255920
500	99966	34.6	251976
500	100040	35.6	256878
