|V|	|E|	time	approx
100	2467	1.19	49066
100	2509	0.895	43197
100	2392	0.946	46795
100	2459	1.05	45220
100	2449	1.05	51414
100	2409	0.923	48745
100	2465	0.894	48278
100	2513	1.1	50742
100	2417	0.834	49277
100	2412	0.904	49298
100	2461	1.36	47396
100	2498	1.27	47395
100	2494	1.19	48345
100	2419	0.865	51748
100	2454	1.25	49931
100	2441	1.23	49684
100	2482	1.28	46442
100	2518	1.01	50002
100	2470	0.879	50500
100	2514	1.01	49651
100	2494	1.02	47464
100	2507	1.03	50475
100	2481	0.914	43540
100	2427	1.22	52974
100	2447	0.998	48304
100	2449	0.995	57744
100	2521	1.23	49848
100	2523	1.02	47835
100	2498	1.11	49643
100	2518	1.06	48908
100	2483	1.01	47113
100	2417	0.962	44893
100	2511	1.02	49704
100	2449	0.906	45588
100	2477	0.866	44643
100	2486	0.858	48688
100	2481	1.05	49847
100	2477	0.905	44584
100	2467	0.91	43708
100	2426	1.19	50065
100	2400	1.04	47437
100	2511	0.94	54560
100	2456	1.23	50591
100	2443	0.857	54460
100	2518	0.997	44134
100	2446	0.991	51483
100	2453	0.948	46065
100	2463	1.2	47928
100	2532	1.35	46507
100	2395	0.798	48006
100	2473	0.862	41050
100	2487	1.01	43909
100	2455	0.924	48907
100	2511	1.1	48125
100	2521	1.09	49166
100	2497	0.997	53683
100	2510	0.824	47210
100	2468	1.04	53606
100	2498	0.868	52315
100	2420	1.01	51131
100	2497	0.924	40878
100	2560	1.11	52203
100	2451	1.2	44718
100	2541	1.01	48271
100	2422	1.05	52335
100	2528	0.972	44702
100	2458	1.02	48830
100	2433	1.13	51694
100	2443	0.946	48163
100	2481	1.12	50742
100	2551	1.01	47769
100	2452	0.907	48520
100	2492	0.961	51274
100	2552	1.16	48017
100	2477	0.923	45618
100	2533	1.08	48102
100	2476	1.04	48507
100	2497	0.946	46687
100	2475	0.894	45258
100	2511	1.12	51615
100	2442	1.22	54821
100	2498	0.927	47354
100	2496	0.901	47663
100	2511	0.939	48621
100	2508	0.895	49618
100	2469	0.891	46861
100	2527	1.26	44086
100	2452	0.794	48202
100	2450	1.09	50689
100	2519	1.05	54557
100	2467	0.816	44010
100	2432	1.2	49301
100	2504	0.941	46912
100	2447	1.14	51434
100	2485	0.806	46017
100	2474	1.2	51002
100	2461	1.05	48256
100	2408	0.84	43530
100	2446	1.21	50278
100	2469	0.926	48498
