|V|	|E|	time	approx
100	4950	1.84	49239
100	4950	1.96	49514
100	4950	1.91	42269
100	4950	2.11	47530
100	4950	2.04	50394
100	4950	1.57	45152
100	4950	1.42	52860
100	4950	1.92	50500
100	4950	1.66	50223
100	4950	1.91	47242
100	4950	2.42	54606
100	4950	1.57	46948
100	4950	1.66	48184
100	4950	1.56	46131
100	4950	1.85	54429
100	4950	1.76	48576
100	4950	1.97	45255
100	4950	1.47	55878
100	4950	1.51	53680
100	4950	2.03	52308
100	4950	2.2	55410
100	4950	1.68	53325
100	4950	1.8	50551
100	4950	1.66	53048
100	4950	2.27	48233
100	4950	1.62	49803
100	4950	1.84	49598
100	4950	2.19	50526
100	4950	1.9	43791
100	4950	2.05	50018
100	4950	1.93	48621
100	4950	2.31	50331
100	4950	1.93	48567
100	4950	1.7	49975
100	4950	2.03	52828
100	4950	2.17	51211
100	4950	1.71	53246
100	4950	1.74	46915
100	4950	1.71	51106
100	4950	1.69	49121
100	4950	1.81	46009
100	4950	1.88	49674
100	4950	1.6	46407
100	4950	2.02	49082
100	4950	2.22	41499
100	4950	1.81	45216
100	4950	1.65	42329
100	4950	1.67	45181
100	4950	2.27	47912
100	4950	1.79	53939
100	4950	2.04	48808
100	4950	1.87	51539
100	4950	1.73	46829
100	4950	1.96	47547
100	4950	2.12	50829
100	4950	1.78	41098
100	4950	1.82	44202
100	4950	2.33	53296
100	4950	2.43	46773
100	4950	1.8	55411
100	4950	2.04	46579
100	4950	2.29	48924
100	4950	1.78	49861
100	4950	2.01	47254
100	4950	1.47	48121
100	4950	2.25	52975
100	4950	1.89	54357
100	4950	1.94	49860
100	4950	1.62	41585
100	4950	1.73	49195
100	4950	1.65	51678
100	4950	1.77	51414
100	4950	2.04	49703
100	4950	2.28	50603
100	4950	2.28	51609
100	4950	1.76	53787
100	4950	1.43	50160
100	4950	1.67	49957
100	4950	2.01	48936
100	4950	1.71	50520
100	4950	1.91	45901
100	4950	2.37	52128
100	4950	1.52	46610
100	4950	2.03	51033
100	4950	1.79	46831
100	4950	1.45	47400
100	4950	1.63	54347
100	4950	1.58	50674
100	4950	1.77	48363
100	4950	1.69	50996
100	4950	1.79	47096
100	4950	2.23	50596
100	4950	1.68	47273
100	4950	1.69	48622
100	4950	1.47	51774
100	4950	1.79	50796
100	4950	1.63	51473
100	4950	1.46	46670
100	4950	2.06	49631
100	4950	2.18	51508
