|V|	|E|	time	approx	optimal
7	12	0.004	2335	1405
7	8	0.003	1281	1281
7	12	0.004	1270	1019
7	12	0.004	832	832
7	11	0.004	2747	1814
7	11	0.004	1494	1494
7	9	0.003	1594	1071
7	13	0.005	2355	1193
7	11	0.004	2158	1680
7	13	0.004	1468	1352
7	8	0.003	1943	1587
7	6	0.003	833	833
7	11	0.004	2030	1185
7	11	0.005	931	931
7	11	0.004	1985	1167
7	8	0.004	1270	1051
7	8	0.003	2110	1303
7	10	0.004	867	867
7	10	0.004	960	960
7	10	0.004	1969	1192
7	10	0.003	2607	2378
7	12	0.005	2651	1786
7	13	0.005	1084	903
7	11	0.004	847	847
7	9	0.004	2879	1598
7	12	0.004	1739	1241
7	11	0.004	1848	1771
7	11	0.005	2539	1910
7	10	0.004	1851	1174
7	12	0.004	4266	2283
7	11	0.004	1016	563
7	8	0.004	1609	1295
7	9	0.004	3781	2224
7	15	0.005	3036	2714
7	8	0.004	3188	1890
7	13	0.004	2066	2066
7	12	0.004	3642	2094
7	10	0.006	2055	1361
7	12	0.004	3010	2184
7	9	0.004	601	601
7	13	0.004	1467	1269
7	8	0.003	815	815
7	11	0.004	3017	1871
7	5	0.003	2071	1284
7	10	0.004	1683	1683
7	12	0.004	3263	2458
7	9	0.003	1968	1968
7	14	0.005	1883	1305
7	8	0.003	1915	1707
7	10	0.004	2167	1528
7	9	0.004	3173	1873
7	12	0.004	2638	2616
7	10	0.004	2201	1478
7	12	0.004	1359	922
7	9	0.004	2278	1155
7	12	0.004	2260	1715
7	11	0.004	2333	2333
7	14	0.005	2586	2101
7	12	0.004	4170	2109
7	8	0.003	1097	1097
7	9	0.004	3635	1857
7	10	0.004	3187	2042
7	13	0.004	2055	1400
7	8	0.004	2261	1607
7	11	0.004	1799	1390
7	12	0.004	2587	1770
7	12	0.004	3144	2783
7	12	0.004	880	806
7	11	0.004	2429	1789
7	13	0.005	3317	2410
7	11	0.004	2489	2467
7	11	0.004	2329	1238
7	12	0.005	1861	1839
7	13	0.004	2262	1942
7	14	0.005	3575	2645
7	15	0.004	2829	2290
7	15	0.004	2609	2609
7	9	0.004	1476	1476
7	9	0.003	1786	1468
7	12	0.004	1341	1341
7	12	0.004	1970	1465
7	7	0.003	977	977
7	16	0.005	4267	3629
7	14	0.005	3545	2494
7	9	0.003	1794	1794
7	13	0.004	1774	1774
7	11	0.004	2143	2014
7	8	0.003	2054	1610
7	11	0.004	2594	1902
7	9	0.004	2676	1987
7	11	0.004	1249	1249
7	9	0.004	2025	1174
7	11	0.004	3008	1572
7	9	0.003	1239	1239
7	10	0.004	1800	1075
7	13	0.004	1234	1234
7	9	0.004	2827	1955
7	13	0.004	3002	2272
7	9	0.004	2369	1866
7	9	0.004	1443	1129
7	10	0.004	1091	857
7	9	0.004	754	754
7	7	0.003	1228	743
7	11	0.004	3032	2205
7	12	0.004	1043	794
7	10	0.004	2260	2169
7	9	0.003	849	849
7	11	0.004	1796	1272
7	7	0.003	1013	551
7	12	0.004	2322	1815
7	11	0.004	3843	3151
7	15	0.004	328	328
7	8	0.003	2009	1558
7	14	0.004	2162	1896
7	7	0.003	1340	1117
7	7	0.003	838	838
7	10	0.004	1421	1088
7	8	0.003	3301	1983
7	11	0.004	2591	1354
7	13	0.005	1873	1535
7	12	0.004	2073	1989
7	14	0.005	1936	1352
7	10	0.004	3789	2947
7	10	0.004	1324	1156
7	10	0.003	877	877
7	8	0.003	1549	1549
